filename,source_video,timestamp_seconds,sharpness,brightness,sha256,annotation_status,label_policy
camera_v9_001_t002050.jpg,external_camera_20260831,2.050,4.09,118.41,459402736ecf4e08a7a888f58000d80c93fe654f2249d62d372eb63bf47da524,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_012_t018850.jpg,external_camera_20260831,18.850,762.04,124.91,34ca4ff650729156de7764171124e065628327bdef5d2790ec3ddd139f8bbe4f,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_013_t020450.jpg,external_camera_20260831,20.450,146.50,132.50,11914aa38f4e2deab21c6da428ed1a883a4f1c77b290e1c9cb38a616715223b9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_014_t022450.jpg,external_camera_20260831,22.450,692.78,123.14,a15d683fac84704f2e620614427a4b377e4c1a769a192abed370e57d46fc0cc1,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_015_t023950.jpg,external_camera_20260831,23.950,831.70,115.27,a185f6c633ab305b57ba9a780a2b830aef90f250c8314b7210f43494223899c8,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_016_t025650.jpg,external_camera_20260831,25.650,1095.99,130.83,22a349b0eec9cdad8b2cf21ea3c1bd0ac3efe717f8e1764618a87815d1418fa2,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_017_t027250.jpg,external_camera_20260831,27.250,1259.65,120.45,7be25d0fe547d76c07a91ee4568b802c4bc13bfab3c3c3909a25b6061f778b8b,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_018_t028850.jpg,external_camera_20260831,28.850,1507.51,119.66,a119e7a0d4e12f5fc67558c2ed81cebb2576219b004e604ab30da283cf65b416,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_019_t029550.jpg,external_camera_20260831,29.550,1481.73,119.99,00efccf9b3252a11251335a3b8b08c1f28081108b739ad03d06d8a892d88cc2a,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_020_t031650.jpg,external_camera_20260831,31.650,812.79,120.71,441fdc01e49fd1cc5827ddfd6725f524777ed85d395ae1c97ffe2abdde542fe6,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_021_t032450.jpg,external_camera_20260831,32.450,716.59,118.82,dea553d6c0300db7c8506e1f07c10063a0354c3fdd73d0da5674fac8be833ead,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_022_t035550.jpg,external_camera_20260831,35.550,817.68,145.43,c256ac47a1cbf54a1266a6815366704d90f26abaf1b85e1e4c714e4f08a5f015,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_023_t036550.jpg,external_camera_20260831,36.550,1565.99,134.05,ef272ca8527c45149826b4c920ba9cbf1a24477010d620133a34f28a76cc3c93,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_024_t038750.jpg,external_camera_20260831,38.750,453.79,127.61,99bc6815a7eb7b1988b75ca0c8e7dae3ceffdb3c461928c782ae99f6e49cb793,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_025_t040350.jpg,external_camera_20260831,40.350,975.11,115.65,b768bb9f16a98441c68060d1e2476dcae6315c7c54d0f28ba9706a637563740f,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_026_t041950.jpg,external_camera_20260831,41.950,1092.85,130.01,47337c029f9364c1cc91044b6a32136e046f6b339aad999fdb359967d01540b9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_027_t042850.jpg,external_camera_20260831,42.850,1173.87,131.68,cfd8c282b45e6547ada93f54e7b1f0cbcc22806a4b4cc7e298e2deb7de56b9a7,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_028_t045150.jpg,external_camera_20260831,45.150,1100.34,124.45,e644482d3b4b74fee76bd8723602ed0a29c5bf0780370af8a3cd759e807a94cb,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_029_t045850.jpg,external_camera_20260831,45.850,1322.47,134.66,cc258b7c528585df44370d24c10a827675f5763de0991c2bf8eb5cab18196004,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_030_t048150.jpg,external_camera_20260831,48.150,1311.63,137.61,0b7e86b7829a59266be17874b519e2c9bf358617bcf4ba7ba8593b856d84f559,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_031_t049150.jpg,external_camera_20260831,49.150,1561.79,127.88,752ee245330acd85376a52ec501846fa3ef1cfce1788d757e81a0ba547d8054b,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_032_t049950.jpg,external_camera_20260831,49.950,1567.79,122.04,460ecab30f6a95ca36e31c9947ea13ecd20d235e1e312ae2af04bea9993f966e,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_033_t051950.jpg,external_camera_20260831,51.950,1503.96,118.94,f9c406b3af5c8185120e4739bec2065468020f381826c9da00e53c23296f70c9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_034_t053750.jpg,external_camera_20260831,53.750,87.82,156.96,b55a2db3967d27c5496317dad2c3a47730a758f988aac23188e337d3702b1a47,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_035_t055950.jpg,external_camera_20260831,55.950,571.88,119.61,2e87703ed28fba0e9c077cbfd5fe512aab1d5597409d77df3684985f24669d90,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_036_t057650.jpg,external_camera_20260831,57.650,36.75,117.66,a519514887ab2ce5917f9a7d3062150bcd07611ed299a53f2b0dff1b3431b934,annotation_required,draw every visible mouse and cup; leave no-target frames empty
